"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"33",81,"kilh","North Lincs Killingholme School","no2",2003-03-01,NA,"urban_industrial",53.629166,-0.264297,"measurement","nlincs"
"34",152,"lake","North Lincs Lakeside","pm10",2011-04-11,NA,"urban_industrial",53.560909,-0.616651,"measurement","nlincs"
"35",46,"nl26","North Lincs North Killingholme St Crispins Close","no2",2004-01-01,NA,"urban_background",53.640233,-0.268139,"measurement","nlincs"
"36",92,"sant","North Lincs Santon","pm25",2008-05-28,2010-03-10,"urban_industrial",53.595721,-0.59711,"measurement","nlincs"
"38",11,"sant","North Lincs Santon","pm10",2005-10-01,NA,"urban_industrial",53.595721,-0.59711,"measurement","nlincs"
"39",80,"sant","North Lincs Santon","no2",2005-10-01,NA,"urban_industrial",53.595721,-0.59711,"measurement","nlincs"
"40",97,"dawe","North Lincs Santon Dawes Lane","pm10",2008-11-17,NA,NA,53.595407,-0.604131,"measurement","nlincs"
"41",102,"dawe","North Lincs Santon Dawes Lane","pm25",2008-11-17,NA,NA,53.595407,-0.604131,"measurement","nlincs"
"42",104,"sfer","North Lincs South Ferriby","pm10",2008-11-17,NA,NA,53.676238,-0.518951,"measurement","nlincs"
"43",109,"sfer","North Lincs South Ferriby","pm25",2008-11-17,NA,NA,53.676238,-0.518951,"measurement","nlincs"
"44",160,"tarm","North Lincs Tarmac","pm25",2011-10-13,NA,NA,53.592673,-0.600142,"measurement","nlincs"
"45",163,"tarm","North Lincs Tarmac","pm10",2011-10-13,NA,NA,53.592673,-0.600142,"measurement","nlincs"
"46",129,"rebn","Redbourne Club","pm10",2010-08-16,NA,"urban_background",53.579383,-0.641892,"measurement","nlincs"
"47",20,"scun","Scunthorpe","pm10",1997-12-15,2004-03-18,"urban_industrial",53.58499,-0.633015,"measurement","nlincs"
"48",24,"nl03","Scunthorpe A1077 Orbital Road","no2",2004-01-01,NA,"roadside",53.605492,-0.662229,"measurement","nlincs"
"49",55,"scn7","Scunthorpe Allanby Street","pm10",2005-07-01,2010-04-04,"other",53.592,-0.652714,"measurement","nlincs"
"50",40,"nl20","Scunthorpe Ashby Lodge Pub","no2",2004-01-01,NA,"roadside",53.552449,-0.577484,"measurement","nlincs"
"51",32,"nl11","Scunthorpe Ashby Road","no2",2004-01-01,NA,"roadside",53.587825,-0.653904,"measurement","nlincs"
"52",35,"nl14","Scunthorpe Ashby Road pub car park","no2",2004-01-01,NA,"roadside",53.570897,-0.655348,"measurement","nlincs"
"53",36,"nl15","Scunthorpe Ashby Road/Brumby Street","no2",2004-01-01,NA,"roadside",53.575093,-0.6568,"measurement","nlincs"
"54",30,"nl09","Scunthorpe Britannia Corner Oswald Rd","no2",2004-01-01,NA,"roadside",53.590991,-0.654075,"measurement","nlincs"
"55",27,"nl06","Scunthorpe Doncaster Rd/Hilton Ave","no2",2004-01-01,NA,"roadside",53.589805,-0.688152,"measurement","nlincs"
"56",29,"nl08","Scunthorpe Doncaster Rd/Royal Hotel","no2",2004-01-01,NA,"roadside",53.590834,-0.664989,"measurement","nlincs"
"57",38,"nl18","Scunthorpe Dudley Road/Queensway","no2",2004-01-01,NA,"roadside",53.566746,-0.62392,"measurement","nlincs"
"58",54,"scn6","Scunthorpe East Common Lane","pm10",2005-03-01,NA,"other",53.576891,-0.632215,"measurement","nlincs"
"60",22,"nl01","Scunthorpe Frodingham Road","no2",2004-01-01,NA,"roadside",53.595074,-0.655079,"measurement","nlincs"
"61",82,"scn1","Scunthorpe Gallagher Retail Park","no2",2006-01-24,2010-04-01,"roadside",53.589419,-0.691518,"measurement","nlincs"
"63",83,"scn8","Scunthorpe Kingsway House","no2",2005-08-09,2010-04-13,"roadside",53.578022,-0.655076,"measurement","nlincs"
"65",39,"nl19","Scunthorpe Lakeside Parkway","no2",2004-01-01,NA,"roadside",53.564254,-0.616723,"measurement","nlincs"
"66",150,"sc11","Scunthorpe Leisure Centre","pm10",2010-12-24,2011-10-03,NA,53.591456,-0.641989,"measurement","nlincs"
"67",147,"sc11","Scunthorpe Leisure Centre","pm25",2010-12-24,2011-10-03,NA,53.591456,-0.641989,"measurement","nlincs"
"69",53,"scn5","Scunthorpe Lincoln Gardens","pm10",2004-11-01,2011-03-31,"other",53.569175,-0.650162,"measurement","nlincs"
"70",34,"nl13","Scunthorpe Lloyds Ave/Ashby Rd","no2",2004-01-01,NA,"roadside",53.578038,-0.65494,"measurement","nlincs"
"71",33,"nl12","Scunthorpe Lloyds Ave/Glover Rd","no2",2004-01-01,NA,"roadside",53.578105,-0.664906,"measurement","nlincs"
"72",23,"nl02","Scunthorpe Normanby Road","no2",2004-01-01,NA,"roadside",53.604051,-0.652376,"measurement","nlincs"
"73",37,"nl16","Scunthorpe Old Brumby/East Common Ln/Queensway","no2",2004-01-01,NA,"roadside",53.576453,-0.645898,"measurement","nlincs"
"74",31,"nl10","Scunthorpe Oswald Road","no2",2004-01-01,NA,"roadside",53.589002,-0.653867,"measurement","nlincs"
"75",28,"nl07","Scunthorpe Scotter Road","no2",2004-01-01,NA,"roadside",53.59016,-0.683593,"measurement","nlincs"
"76",48,"nl28","Scunthorpe Station Rd/Brigg Rd","no2",2004-01-01,NA,"roadside",53.587917,-0.642933,"measurement","nlincs"
"78",5,"scn2","Scunthorpe Town (Rowland Road)","co",2004-06-06,2005-11-30,"urban_industrial",53.58634,-0.636811,"measurement","nlincs"
"79",79,"scn2","Scunthorpe Town (Rowland Road)","no2",2004-06-06,NA,"urban_industrial",53.58634,-0.636811,"measurement","nlincs"
"80",3,"scn2","Scunthorpe Town (Rowland Road)","pm10",2004-06-06,2009-12-16,"urban_industrial",53.58634,-0.636811,"measurement","nlincs"
"81",138,"sc10","Scunthorpe Town (TEOM only)","pm10",2009-12-17,NA,NA,53.586107,-0.635558,"measurement","nlincs"
"82",49,"nl30","Scunthorpe Town 30","no2",2004-01-01,NA,"urban_industrial",53.586107,-0.635558,"measurement","nlincs"
"83",50,"nl31","Scunthorpe Town 31","no2",2004-01-01,NA,"urban_industrial",53.586107,-0.635558,"measurement","nlincs"
"84",51,"nl32","Scunthorpe Town 32","no2",2004-01-01,NA,"urban_industrial",53.586107,-0.635558,"measurement","nlincs"
"85",130,"stat","Station Road","pm10",2010-08-18,2011-03-15,NA,53.587953,-0.643007,"measurement","nlincs"
"86",131,"stat","Station Road","pm25",2010-08-18,2011-03-15,NA,53.587953,-0.643007,"measurement","nlincs"
