"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"741",1242,"car3","Cardiff Briardene","no2",1998-01-01,2008-05-16,NA,51.502222,-3.19659,"measurement","waq"
"742",1243,"car3","Cardiff Briardene","o3",1998-01-01,2008-05-16,NA,51.502222,-3.19659,"measurement","waq"
"745",1187,"card","Cardiff Centre","no2",1992-05-12,NA,"urban_centre",51.48178,-3.17625,"measurement","waq"
"746",2034,"card","Cardiff Centre","pm25",2008-08-12,NA,"urban_centre",51.48178,-3.17625,"measurement","waq"
"747",1188,"card","Cardiff Centre","o3",1992-05-12,NA,"urban_centre",51.48178,-3.17625,"measurement","waq"
"748",1962,"card","Cardiff Centre","pm10",1992-05-12,2007-02-18,"urban_centre",51.48178,-3.17625,"measurement","waq"
"749",1186,"card","Cardiff Centre","co",1992-05-12,NA,"urban_centre",51.48178,-3.17625,"measurement","waq"
"827",1410,"chep","Chepstow A48","no2",2004-09-03,NA,NA,51.638094,-2.678731,"measurement","waq"
"828",2263,"chep","Chepstow A48","pm25",2010-02-09,NA,"roadside",51.638094,-2.678731,"measurement","waq"
"829",1982,"chep","Chepstow A48","pm10",2004-09-03,2010-02-09,NA,51.638094,-2.678731,"measurement","waq"
"849",2711,"nth1","Cimla Road / Victoria Gardens","no2",2012-07-20,NA,"roadside",51.659617,-3.801693,"measurement","waq"
"931",1222,"cwmb","Cwmbran","co",2002-03-12,2007-09-30,"urban_background",51.6538,-3.006953,"measurement","waq"
"932",1223,"cwmb","Cwmbran","no2",2001-07-20,NA,"urban_background",51.6538,-3.006953,"measurement","waq"
"933",1969,"cwmb","Cwmbran","pm10",2001-07-20,NA,"urban_background",51.6538,-3.006953,"measurement","waq"
"934",1224,"cwmb","Cwmbran","o3",2003-04-29,NA,"urban_background",51.6538,-3.006953,"measurement","waq"
"1035",1552,"flin","Flintshire","no2",2003-03-13,2004-03-16,"roadside",53.197601,-3.039291,"measurement","waq"
"1037",1983,"flin","Flintshire","pm10",2003-03-13,2004-03-16,"roadside",53.197601,-3.039291,"measurement","waq"
"1118",2602,"cae6","Hafod-yr-ynys Roadside","no2",2011-10-01,NA,"kerbside",51.680579,-3.133508,"measurement","waq"
"1441",1277,"mawr","Marchlyn Mawr","no2",1999-07-15,NA,"remote",53.136152,-4.074791,"measurement","waq"
"1442",1278,"mawr","Marchlyn Mawr","o3",1999-07-15,NA,"remote",53.136152,-4.074791,"measurement","waq"
"1479",2219,"mold","Mold","no2",2009-12-02,2013-12-31,"suburban",53.162306,-3.144889,"measurement","waq"
"1481",2221,"mold","Mold","o3",2009-12-02,2013-12-31,"suburban",53.162306,-3.144889,"measurement","waq"
"1488",1246,"mon","Monmouth","no2",2002-01-01,2004-08-27,NA,51.8123,-2.711119,"measurement","waq"
"1490",1973,"mon","Monmouth","pm10",2002-01-01,2004-08-27,NA,51.8123,-2.711119,"measurement","waq"
"1491",1247,"mon","Monmouth","o3",2002-01-01,2004-08-27,NA,51.8123,-2.711119,"measurement","waq"
"1517",2605,"cae7","Nantgarw Road","no2",2011-10-11,NA,"roadside",51.57537,-3.231658,"measurement","waq"
"1519",2607,"cae7","Nantgarw Road","pm10",2011-09-01,2015-01-24,"roadside",51.57537,-3.231658,"measurement","waq"
"1525",1966,"pemb","Narberth","pm10",1997-01-20,2009-03-17,"rural",51.781784,-4.691462,"measurement","waq"
"1526",1208,"pemb","Narberth","no2",1997-01-20,NA,"rural",51.781784,-4.691462,"measurement","waq"
"1527",1209,"pemb","Narberth","o3",1997-01-20,NA,"rural",51.781784,-4.691462,"measurement","waq"
"1555",2706,"npt4","Newport M4 Junction 25","no2",2012-06-15,NA,"roadside",51.601262,-2.973273,"measurement","waq"
"1557",2708,"npt4","Newport M4 Junction 25","o3",2012-06-15,NA,"roadside",51.601262,-2.973273,"measurement","waq"
"1558",1240,"npt2","Newport Malpas Depot","no2",2003-06-01,2011-10-31,"urban_background",51.602642,-3.00388,"measurement","waq"
"1560",1400,"npt2","Newport Malpas Depot","o3",2004-06-29,2011-10-31,"urban_background",51.602642,-3.00388,"measurement","waq"
"1568",2143,"npt1","Newport St Julians Comp School","pm25",2008-12-12,NA,"urban_background",51.601203,-2.977281,"measurement","waq"
"1576",1238,"npt1","Newport St Julians Comp School","no2",2003-01-14,NA,"urban_background",51.601203,-2.977281,"measurement","waq"
"1578",1971,"npt1","Newport St Julians Comp School","pm10",2003-01-14,2006-09-27,"urban_background",51.601203,-2.977281,"measurement","waq"
"1648",3134,"pem1","Pembroke Power Station","no2",2013-10-01,2015-12-31,"urban_industrial",51.688254,-4.993565,"measurement","waq"
"1650",3136,"pem1","Pembroke Power Station","o3",2013-10-01,2015-12-31,"urban_industrial",51.688254,-4.993565,"measurement","waq"
"1651",3137,"pem1","Pembroke Power Station","pm10",2013-10-01,2015-12-31,"urban_industrial",51.688254,-4.993565,"measurement","waq"
"1694",2701,"pd1","Pontardawe Swansea Road","no2",2012-07-13,2016-07-11,"roadside",51.719638,-3.853943,"measurement","waq"
"1704",1204,"pt","Port Talbot","no2",1997-01-09,2007-07-24,"urban_industrial",51.5798,-3.76169,"measurement","waq"
"1705",1205,"pt","Port Talbot","o3",1997-01-09,2007-07-24,"urban_industrial",51.5798,-3.76169,"measurement","waq"
"1706",1965,"pt","Port Talbot","pm10",1997-01-09,2007-07-24,"urban_industrial",51.5798,-3.76169,"measurement","waq"
"1707",1488,"pt2","Port Talbot CO","co",1998-06-01,2006-12-31,NA,51.579866,-3.761568,"measurement","waq"
"1709",1953,"pt4","Port Talbot Margam","o3",2007-07-24,NA,"urban_industrial",51.58395,-3.770822,"measurement","waq"
"1710",2057,"pt4","Port Talbot Margam","pm25",2008-04-23,NA,"urban_industrial",51.58395,-3.770822,"measurement","waq"
"1711",1957,"pt4","Port Talbot Margam","co",2007-07-24,NA,"urban_industrial",51.58395,-3.770822,"measurement","waq"
"1712",1951,"pt4","Port Talbot Margam","no2",2007-07-24,NA,"urban_industrial",51.58395,-3.770822,"measurement","waq"
"1713",2359,"mmf6","Port Talbot Prince Street","co",2010-01-01,2012-12-31,"suburban",51.579646,-3.766567,"measurement","waq"
"1714",2360,"mmf6","Port Talbot Prince Street","pm10",2010-01-01,2013-12-31,"suburban",51.579646,-3.766567,"measurement","waq"
"1715",2361,"mmf6","Port Talbot Prince Street","pm25",2010-01-01,2013-06-30,"suburban",51.579646,-3.766567,"measurement","waq"
"1716",3165,"mmf6a","Port Talbot Prince Street (FDMS only)","pm25",2014-03-17,NA,NA,51.579665,-3.766569,"measurement","waq"
"1717",3175,"pt11","Port Talbot Prince Street 2","pm25",2014-03-07,NA,"urban_industrial",51.579656,-3.766465,"measurement","waq"
"1772",1811,"rhd4","Rhondda-Cynon-Taf Broadway","co",2006-01-01,2006-09-30,"roadside",51.597845,-3.331923,"measurement","waq"
"1773",1808,"rhd4","Rhondda-Cynon-Taf Broadway","no2",2006-01-01,NA,"roadside",51.597845,-3.331923,"measurement","waq"
"1775",1984,"rhd4","Rhondda-Cynon-Taf Broadway","pm10",2006-01-01,2006-09-30,"roadside",51.597845,-3.331923,"measurement","waq"
"1776",1978,"rhd2","Rhondda-Cynon-Taf Nantgarw","pm10",2002-01-01,NA,"roadside",51.565439,-3.256145,"measurement","waq"
"1777",1262,"rhd1","Rhondda-Cynon-Taf Pontypridd","co",2002-01-01,2005-07-12,"urban_background",51.598389,-3.34842,"measurement","waq"
"1778",1263,"rhd1","Rhondda-Cynon-Taf Pontypridd","o3",2002-01-01,2005-07-12,"urban_background",51.598389,-3.34842,"measurement","waq"
"1779",1977,"rhd1","Rhondda-Cynon-Taf Pontypridd","pm10",2002-01-01,2005-07-12,"urban_background",51.598389,-3.34842,"measurement","waq"
"1780",1813,"rhd5","Rhondda-Cynon-Taf Tylorstown","no2",2006-01-01,2009-04-30,"roadside",51.647628,-3.431957,"measurement","waq"
"1785",3180,"rhd8","Rhondda Mountain Ash","no2",2014-07-01,NA,"roadside",51.684393,-3.378816,"measurement","waq"
"1787",2338,"rhd6","Rhondda Pontypridd Gelliwastad Rd","no2",2011-03-07,NA,"roadside",51.604647,-3.338912,"measurement","waq"
"1888",1194,"swan","Swansea","co",1994-12-01,2006-08-07,"urban_centre",51.62114,-3.943329,"measurement","waq"
"1889",1195,"swan","Swansea","no2",1994-12-01,2006-08-07,"urban_centre",51.62114,-3.943329,"measurement","waq"
"1890",1196,"swan","Swansea","o3",1994-12-01,2006-08-07,"urban_centre",51.62114,-3.943329,"measurement","waq"
"1892",1963,"swan","Swansea","pm10",1994-12-01,2006-08-07,"urban_centre",51.62114,-3.943329,"measurement","waq"
"1893",2061,"swa9","Swansea Cwm Level Park","no2",2008-11-28,NA,"urban_background",51.645733,-3.939392,"measurement","waq"
"1895",2063,"swa9","Swansea Cwm Level Park","o3",2008-11-28,NA,"urban_background",51.645733,-3.939392,"measurement","waq"
"1896",1559,"swa7","Swansea Hafod DOAS","no2",2004-02-01,NA,"roadside",51.632927,-3.93854,"measurement","waq"
"1898",1562,"swa7","Swansea Hafod DOAS","o3",2004-02-01,NA,"roadside",51.632927,-3.93854,"measurement","waq"
"1899",1974,"swa4","Swansea Morfa Roadside","pm10",2000-08-04,2006-10-27,"roadside",51.641481,-3.937329,"measurement","waq"
"1901",1249,"swa4","Swansea Morfa Roadside","co",2000-08-04,2011-05-12,"roadside",51.641481,-3.937329,"measurement","waq"
"1902",1250,"swa4","Swansea Morfa Roadside","no2",2000-08-04,2011-05-12,"roadside",51.641481,-3.937329,"measurement","waq"
"1903",1253,"swa5","Swansea Morriston Roadside","co",2000-10-17,2010-04-07,"roadside",51.662122,-3.921301,"measurement","waq"
"1904",3194,"swa5","Swansea Morriston Roadside","pm25",2016-01-15,NA,"roadside",51.662122,-3.921301,"measurement","waq"
"1905",1255,"swa5","Swansea Morriston Roadside","no2",2000-10-17,NA,"roadside",51.662122,-3.921301,"measurement","waq"
"1906",1975,"swa5","Swansea Morriston Roadside","pm10",2000-10-17,2006-10-27,"roadside",51.662122,-3.921301,"measurement","waq"
"1907",1256,"swa5","Swansea Morriston Roadside","o3",2000-10-17,NA,"roadside",51.662122,-3.921301,"measurement","waq"
"1910",1830,"swa1","Swansea Roadside","no2",2006-09-20,NA,"roadside",51.632696,-3.947374,"measurement","waq"
"1911",2378,"swa1","Swansea Roadside","pm10",2011-11-17,NA,"roadside",51.632696,-3.947374,"measurement","waq"
"1913",1832,"swa1","Swansea Roadside","o3",2006-09-20,2007-09-30,"roadside",51.632696,-3.947374,"measurement","waq"
"1914",1864,"swa1","Swansea Roadside","pm25",2006-09-20,NA,"roadside",51.632696,-3.947374,"measurement","waq"
"1915",1828,"swa1","Swansea Roadside","co",2006-09-20,2007-09-30,"roadside",51.632696,-3.947374,"measurement","waq"
"1916",2391,"swa8","Swansea St Thomas DOAS","o3",2005-05-04,NA,NA,51.625711,-3.934461,"measurement","waq"
"1917",2387,"swa8","Swansea St Thomas DOAS","no2",2005-05-04,NA,"roadside",51.625711,-3.934461,"measurement","waq"
"1920",3183,"sw10","Swansea Station Court High Street","no2",2014-07-07,NA,"roadside",51.625921,-3.941502,"measurement","waq"
"1999",2163,"twyn","Twynyrodyn","pm25",2005-01-01,NA,"urban_industrial",51.744444,-3.365833,"measurement","waq"
"2000",2164,"twyn","Twynyrodyn","pm10",2005-01-01,NA,"urban_industrial",51.744444,-3.365833,"measurement","waq"
"2025",2002,"glm7","V Glamorgan Dinas Powys Roadside","no2",2007-09-17,2016-02-03,NA,51.436457,-3.212149,"measurement","waq"
"2027",3188,"glm7","V Glamorgan Dinas Powys Roadside","o3",2015-07-08,2016-02-03,NA,51.436457,-3.212149,"measurement","waq"
"2028",1227,"glm2","V Glamorgan Fonmon","co",2001-07-25,2003-03-31,"rural",51.397264,-3.353853,"measurement","waq"
"2030",1228,"glm2","V Glamorgan Fonmon","no2",2001-07-25,2014-06-05,"rural",51.397264,-3.353853,"measurement","waq"
"2031",1229,"glm2","V Glamorgan Fonmon","o3",2001-07-25,2014-06-05,"rural",51.397264,-3.353853,"measurement","waq"
"2032",1970,"glm2","V Glamorgan Fonmon","pm10",2001-08-01,2007-09-06,"rural",51.397264,-3.353853,"measurement","waq"
"2034",1990,"glm5","V Glamorgan Penarth","o3",2005-05-01,2012-10-09,"roadside",51.445303,-3.187777,"measurement","waq"
"2035",1686,"glm5","V Glamorgan Penarth","no2",2005-05-01,2012-10-09,"roadside",51.445303,-3.187777,"measurement","waq"
"2036",3163,"glm8","V Glamorgan Windsor Road Penarth","pm10",2014-01-29,NA,NA,51.444567,-3.187042,"measurement","waq"
"2037",3157,"glm8","V Glamorgan Windsor Road Penarth","no2",2014-01-29,NA,"roadside",51.444567,-3.187042,"measurement","waq"
"2039",3159,"glm8","V Glamorgan Windsor Road Penarth","o3",2014-01-29,NA,"roadside",51.444567,-3.187042,"measurement","waq"
"2104",1233,"wrex","Wrexham","no2",2002-03-06,NA,"roadside",53.04222,-3.002778,"measurement","waq"
"2105",1986,"wrex","Wrexham","pm10",2007-03-21,2007-12-31,"roadside",53.04222,-3.002778,"measurement","waq"
"2107",1232,"wrex","Wrexham","co",2002-03-06,2007-09-30,"roadside",53.04222,-3.002778,"measurement","waq"
"2116",1878,"wrx4","Wrexham Isycoed","no2",2006-01-01,2016-01-05,"urban_industrial",53.048475,-2.900658,"measurement","waq"
